COD_CULTIVO,CROP_STD,ANO,VARIABLE,N,MISSING,MISSING_RATE,ALERT_GT_20PCT
13010170102,LIMON SUTIL,2016,SIEMBRA,480,0,0.0,False
13010170102,LIMON SUTIL,2016,COSECHA,480,0,0.0,False
13010170102,LIMON SUTIL,2016,PRODUCCION,480,0,0.0,False
13010170102,LIMON SUTIL,2016,VERDE_ACTUAL,480,0,0.0,False
13010170102,LIMON SUTIL,2016,PRECIO_CHACRA,480,0,0.0,False
13010170102,LIMON SUTIL,2017,SIEMBRA,476,0,0.0,False
13010170102,LIMON SUTIL,2017,COSECHA,476,0,0.0,False
13010170102,LIMON SUTIL,2017,PRODUCCION,476,0,0.0,False
13010170102,LIMON SUTIL,2017,VERDE_ACTUAL,476,0,0.0,False
13010170102,LIMON SUTIL,2017,PRECIO_CHACRA,476,0,0.0,False
13010170102,LIMON SUTIL,2018,SIEMBRA,478,0,0.0,False
13010170102,LIMON SUTIL,2018,COSECHA,478,0,0.0,False
13010170102,LIMON SUTIL,2018,PRODUCCION,478,0,0.0,False
13010170102,LIMON SUTIL,2018,VERDE_ACTUAL,478,0,0.0,False
13010170102,LIMON SUTIL,2018,PRECIO_CHACRA,478,0,0.0,False
13010170102,LIMON SUTIL,2019,SIEMBRA,493,0,0.0,False
13010170102,LIMON SUTIL,2019,COSECHA,493,0,0.0,False
13010170102,LIMON SUTIL,2019,PRODUCCION,493,0,0.0,False
13010170102,LIMON SUTIL,2019,VERDE_ACTUAL,493,0,0.0,False
13010170102,LIMON SUTIL,2019,PRECIO_CHACRA,493,0,0.0,False
13010170102,LIMON SUTIL,2020,SIEMBRA,516,0,0.0,False
13010170102,LIMON SUTIL,2020,COSECHA,516,0,0.0,False
13010170102,LIMON SUTIL,2020,PRODUCCION,516,0,0.0,False
13010170102,LIMON SUTIL,2020,VERDE_ACTUAL,516,0,0.0,False
13010170102,LIMON SUTIL,2020,PRECIO_CHACRA,516,0,0.0,False
13010170102,LIMON SUTIL,2021,SIEMBRA,521,0,0.0,False
13010170102,LIMON SUTIL,2021,COSECHA,521,0,0.0,False
13010170102,LIMON SUTIL,2021,PRODUCCION,521,0,0.0,False
13010170102,LIMON SUTIL,2021,VERDE_ACTUAL,521,0,0.0,False
13010170102,LIMON SUTIL,2021,PRECIO_CHACRA,521,0,0.0,False
13010170102,LIMON SUTIL,2022,SIEMBRA,536,0,0.0,False
13010170102,LIMON SUTIL,2022,COSECHA,536,0,0.0,False
13010170102,LIMON SUTIL,2022,PRODUCCION,536,0,0.0,False
13010170102,LIMON SUTIL,2022,VERDE_ACTUAL,536,0,0.0,False
13010170102,LIMON SUTIL,2022,PRECIO_CHACRA,536,0,0.0,False
13010170102,LIMON SUTIL,2023,SIEMBRA,538,0,0.0,False
13010170102,LIMON SUTIL,2023,COSECHA,538,0,0.0,False
13010170102,LIMON SUTIL,2023,PRODUCCION,538,0,0.0,False
13010170102,LIMON SUTIL,2023,VERDE_ACTUAL,538,0,0.0,False
13010170102,LIMON SUTIL,2023,PRECIO_CHACRA,538,0,0.0,False
13010210000,MANGO,2016,SIEMBRA,428,0,0.0,False
13010210000,MANGO,2016,COSECHA,428,0,0.0,False
13010210000,MANGO,2016,PRODUCCION,428,0,0.0,False
13010210000,MANGO,2016,VERDE_ACTUAL,428,0,0.0,False
13010210000,MANGO,2016,PRECIO_CHACRA,428,0,0.0,False
13010210000,MANGO,2017,SIEMBRA,423,0,0.0,False
13010210000,MANGO,2017,COSECHA,423,0,0.0,False
13010210000,MANGO,2017,PRODUCCION,423,0,0.0,False
13010210000,MANGO,2017,VERDE_ACTUAL,423,0,0.0,False
13010210000,MANGO,2017,PRECIO_CHACRA,423,0,0.0,False
13010210000,MANGO,2018,SIEMBRA,443,0,0.0,False
13010210000,MANGO,2018,COSECHA,443,0,0.0,False
13010210000,MANGO,2018,PRODUCCION,443,0,0.0,False
13010210000,MANGO,2018,VERDE_ACTUAL,443,0,0.0,False
13010210000,MANGO,2018,PRECIO_CHACRA,443,0,0.0,False
13010210000,MANGO,2019,SIEMBRA,444,0,0.0,False
13010210000,MANGO,2019,COSECHA,444,0,0.0,False
13010210000,MANGO,2019,PRODUCCION,444,0,0.0,False
13010210000,MANGO,2019,VERDE_ACTUAL,444,0,0.0,False
13010210000,MANGO,2019,PRECIO_CHACRA,444,0,0.0,False
13010210000,MANGO,2020,SIEMBRA,444,0,0.0,False
13010210000,MANGO,2020,COSECHA,444,0,0.0,False
13010210000,MANGO,2020,PRODUCCION,444,0,0.0,False
13010210000,MANGO,2020,VERDE_ACTUAL,444,0,0.0,False
13010210000,MANGO,2020,PRECIO_CHACRA,444,0,0.0,False
13010210000,MANGO,2021,SIEMBRA,444,0,0.0,False
13010210000,MANGO,2021,COSECHA,444,0,0.0,False
13010210000,MANGO,2021,PRODUCCION,444,0,0.0,False
13010210000,MANGO,2021,VERDE_ACTUAL,444,0,0.0,False
13010210000,MANGO,2021,PRECIO_CHACRA,444,0,0.0,False
13010210000,MANGO,2022,SIEMBRA,449,0,0.0,False
13010210000,MANGO,2022,COSECHA,449,0,0.0,False
13010210000,MANGO,2022,PRODUCCION,449,0,0.0,False
13010210000,MANGO,2022,VERDE_ACTUAL,449,0,0.0,False
13010210000,MANGO,2022,PRECIO_CHACRA,449,0,0.0,False
13010210000,MANGO,2023,SIEMBRA,447,0,0.0,False
13010210000,MANGO,2023,COSECHA,447,0,0.0,False
13010210000,MANGO,2023,PRODUCCION,447,0,0.0,False
13010210000,MANGO,2023,VERDE_ACTUAL,447,0,0.0,False
13010210000,MANGO,2023,PRECIO_CHACRA,447,0,0.0,False
14010020000,ARROZ,2016,SIEMBRA,453,0,0.0,False
14010020000,ARROZ,2016,COSECHA,453,0,0.0,False
14010020000,ARROZ,2016,PRODUCCION,453,0,0.0,False
14010020000,ARROZ,2016,VERDE_ACTUAL,453,0,0.0,False
14010020000,ARROZ,2016,PRECIO_CHACRA,453,0,0.0,False
14010020000,ARROZ,2017,SIEMBRA,458,0,0.0,False
14010020000,ARROZ,2017,COSECHA,458,0,0.0,False
14010020000,ARROZ,2017,PRODUCCION,458,0,0.0,False
14010020000,ARROZ,2017,VERDE_ACTUAL,458,0,0.0,False
14010020000,ARROZ,2017,PRECIO_CHACRA,458,0,0.0,False
14010020000,ARROZ,2018,SIEMBRA,424,0,0.0,False
14010020000,ARROZ,2018,COSECHA,424,0,0.0,False
14010020000,ARROZ,2018,PRODUCCION,424,0,0.0,False
14010020000,ARROZ,2018,VERDE_ACTUAL,424,0,0.0,False
14010020000,ARROZ,2018,PRECIO_CHACRA,424,0,0.0,False
14010020000,ARROZ,2019,SIEMBRA,443,0,0.0,False
