CROP_CODE,CROP,MODEL_ID,CLIMATE_VARIABLE,WINDOW,BETA,CR2_STANDARD_ERROR,SATTERTHWAITE_DF,EFFECTIVE_DF_FLAG,T_STATISTIC,P_VALUE_TWO_SIDED,CI95_LOWER,CI95_UPPER,HOLM_ADJUSTED_P_VALUE,OUTCOME_SCALE,PRIMARY_CLIMATE_FAMILY,FUNCTIONAL_FORM,DISTRICT_FE,PERIOD_FE,WEIGHTING,INFERENCE,CLAIM_CEILING
14010020000,RICE,ED1-RICE,RAIN_ANOM_MM,RICE_FLOWERING_95_110_DAS,0.0011037394218762486,0.00088239450232378055,4.9199938242544086,VERY_LOW_EFFECTIVE_DF,1.2508457599968694,0.26717906808487252,-0.0011756671397038457,0.003383145983456343,0.80153720425461761,YIELD_LEVEL_TM_PER_HA,PHYSICAL_ANOMALY,LINEAR_ADDITIVE,REQUIRED,REQUIRED,UNWEIGHTED_PRIMARY_ESTIMATION,DISTRICT_CLUSTERED_CR2_BIAS_REDUCED_LINEARIZATION_WITH_SATTERTHWAITE_DF,EMPIRICAL_ASSOCIATION_CLIMATE_RESPONSE_ONLY
14010020000,RICE,ED1-RICE,TMAX_ANOM_C,RICE_FLOWERING_95_110_DAS,0.0089764891920362522,0.14532957498330765,20.757481078567611,NONE,0.061766431182828957,0.95133971432404518,-0.29346805836142859,0.31142103674550109,0.95133971432404518,YIELD_LEVEL_TM_PER_HA,PHYSICAL_ANOMALY,LINEAR_ADDITIVE,REQUIRED,REQUIRED,UNWEIGHTED_PRIMARY_ESTIMATION,DISTRICT_CLUSTERED_CR2_BIAS_REDUCED_LINEARIZATION_WITH_SATTERTHWAITE_DF,EMPIRICAL_ASSOCIATION_CLIMATE_RESPONSE_ONLY
14010020000,RICE,ED1-RICE,TMIN_ANOM_C,RICE_FLOWERING_95_110_DAS,0.091437121470065885,0.12543260084185909,19.815441676122095,NONE,0.72897413317090121,0.47454610853043688,-0.17036701327289405,0.35324125621302582,0.94909221706087377,YIELD_LEVEL_TM_PER_HA,PHYSICAL_ANOMALY,LINEAR_ADDITIVE,REQUIRED,REQUIRED,UNWEIGHTED_PRIMARY_ESTIMATION,DISTRICT_CLUSTERED_CR2_BIAS_REDUCED_LINEARIZATION_WITH_SATTERTHWAITE_DF,EMPIRICAL_ASSOCIATION_CLIMATE_RESPONSE_ONLY
14010070000,MAIZ_AMARILLO_DURO,ED1-MAD,RAIN_ANOM_MM,MAD_MPLUS1_MPLUS3,0.00012564522471647521,0.00025458495842407993,25.033294856014326,NONE,0.49352964721183251,0.62594060536375018,-0.00039864695389725817,0.0006499374033302086,1,YIELD_LEVEL_TM_PER_HA,PHYSICAL_ANOMALY,LINEAR_ADDITIVE,REQUIRED,REQUIRED,UNWEIGHTED_PRIMARY_ESTIMATION,DISTRICT_CLUSTERED_CR2_BIAS_REDUCED_LINEARIZATION_WITH_SATTERTHWAITE_DF,EMPIRICAL_ASSOCIATION_CLIMATE_RESPONSE_ONLY
14010070000,MAIZ_AMARILLO_DURO,ED1-MAD,TMAX_ANOM_C,MAD_MPLUS1_MPLUS3,0.23699616341331953,0.14878740866386259,28.633839345881704,NONE,1.5928509377344982,0.12217434232714591,-0.067477372709215833,0.54146969953585489,0.36652302698143774,YIELD_LEVEL_TM_PER_HA,PHYSICAL_ANOMALY,LINEAR_ADDITIVE,REQUIRED,REQUIRED,UNWEIGHTED_PRIMARY_ESTIMATION,DISTRICT_CLUSTERED_CR2_BIAS_REDUCED_LINEARIZATION_WITH_SATTERTHWAITE_DF,EMPIRICAL_ASSOCIATION_CLIMATE_RESPONSE_ONLY
14010070000,MAIZ_AMARILLO_DURO,ED1-MAD,TMIN_ANOM_C,MAD_MPLUS1_MPLUS3,-0.087388917881000228,0.21385595129036852,33.668899333872616,NONE,-0.40863449136538471,0.68539544319090595,-0.52215398195368279,0.34737614619168233,1,YIELD_LEVEL_TM_PER_HA,PHYSICAL_ANOMALY,LINEAR_ADDITIVE,REQUIRED,REQUIRED,UNWEIGHTED_PRIMARY_ESTIMATION,DISTRICT_CLUSTERED_CR2_BIAS_REDUCED_LINEARIZATION_WITH_SATTERTHWAITE_DF,EMPIRICAL_ASSOCIATION_CLIMATE_RESPONSE_ONLY
13010210000,MANGO,ED1-MANGO,RAIN_ANOM_MM,MANGO_MAY_JUN_CURRENT_YEAR,-0.0017475498782406618,0.020536870189962517,11.29714328044737,NONE,-0.085093291337780583,0.93367656534030652,-0.046804264497800195,0.043309164741318872,1,YIELD_LEVEL_TM_PER_HA,PHYSICAL_ANOMALY,LINEAR_ADDITIVE,REQUIRED,REQUIRED,UNWEIGHTED_PRIMARY_ESTIMATION,DISTRICT_CLUSTERED_CR2_BIAS_REDUCED_LINEARIZATION_WITH_SATTERTHWAITE_DF,EMPIRICAL_ASSOCIATION_CLIMATE_RESPONSE_ONLY
13010210000,MANGO,ED1-MANGO,TMAX_ANOM_C,MANGO_MAY_JUN_CURRENT_YEAR,0.55634150583162256,0.83107361099032051,20.485841446325121,NONE,0.66942506472883578,0.51069940391435398,-1.1746157502915004,2.2872987619547454,1,YIELD_LEVEL_TM_PER_HA,PHYSICAL_ANOMALY,LINEAR_ADDITIVE,REQUIRED,REQUIRED,UNWEIGHTED_PRIMARY_ESTIMATION,DISTRICT_CLUSTERED_CR2_BIAS_REDUCED_LINEARIZATION_WITH_SATTERTHWAITE_DF,EMPIRICAL_ASSOCIATION_CLIMATE_RESPONSE_ONLY
13010210000,MANGO,ED1-MANGO,TMIN_ANOM_C,MANGO_MAY_JUN_CURRENT_YEAR,0.65834191561220345,0.90395436443403754,19.737656667708141,NONE,0.72829109689003924,0.4749880257620489,-1.2288818378936219,2.5455656691180288,1,YIELD_LEVEL_TM_PER_HA,PHYSICAL_ANOMALY,LINEAR_ADDITIVE,REQUIRED,REQUIRED,UNWEIGHTED_PRIMARY_ESTIMATION,DISTRICT_CLUSTERED_CR2_BIAS_REDUCED_LINEARIZATION_WITH_SATTERTHWAITE_DF,EMPIRICAL_ASSOCIATION_CLIMATE_RESPONSE_ONLY
13010170102,LIMON_SUTIL,ED1-LEMON,RAIN_ANOM_MM__T,LEMON_FULL_YEAR_T,-0.0037808833821428856,0.0032957959011901817,21.529298238840443,NONE,-1.1471837138876011,0.26389502502498591,-0.010624620394595254,0.0030628536303094825,1,YIELD_LEVEL_TM_PER_HA,PHYSICAL_ANOMALY,LINEAR_ADDITIVE,REQUIRED,REQUIRED,UNWEIGHTED_PRIMARY_ESTIMATION,DISTRICT_CLUSTERED_CR2_BIAS_REDUCED_LINEARIZATION_WITH_SATTERTHWAITE_DF,EMPIRICAL_ASSOCIATION_CLIMATE_RESPONSE_ONLY
